YYMM,Mrk,SMB,HML,RMW,CMA,
19790425,0.252608344,0.67242005,0.055650112,0.025391488,-0.006069993,
19790426,0.279520275,0.65423338,0.051983684,0.018820355,-0.004557693,
19790427,0.214778229,0.71600832,0.053354018,0.019958594,-0.004099161,
19790430,0.17714652,0.756539531,0.051681142,0.018099367,-0.00346656,
19790501,0.238479879,0.701521838,0.04803197,0.014519776,-0.002553462,
19790502,0.28205535,0.663524357,0.045717885,0.011034321,-0.002331912,
19790503,0.346770051,0.60707256,0.039086019,0.008030154,-0.000958783,
19790504,0.334296869,0.617654904,0.040675972,0.00830325,-0.000930995,
19790507,0.376084658,0.579051018,0.039863535,0.006599561,-0.001598772,
19790508,0.484789228,0.483552136,0.029428351,0.002475432,-0.000245147,
19790509,0.485831128,0.483205521,0.028588035,0.001699345,0.000675971,
19790510,0.485596818,0.485969617,0.02577534,0.001435868,0.001222357,
19790511,0.500797027,0.473971951,0.023159035,0.000161597,0.001910391,
19790514,0.530667016,0.445243817,0.02338329,-0.001253383,0.001959261,
19790515,0.51538134,0.457445602,0.025813352,-0.000199019,0.001558725,
19790516,0.516400524,0.458442038,0.02387621,-0.000611398,0.001892625,
19790517,0.516321244,0.460785258,0.022798437,-0.001715099,0.00181016,
19790518,0.532602316,0.443030743,0.025292652,-0.002601284,0.001675573,
19790521,0.556774747,0.418209516,0.026672404,-0.002894993,0.001238325,
19790522,0.530946063,0.442287516,0.027584615,-0.002142533,0.001324339,
19790523,0.542589195,0.432084116,0.025703019,-0.001797471,0.001421141,
19790524,0.547673845,0.428661723,0.02438038,-0.002088703,0.001372756,
19790525,0.567732367,0.408577121,0.02432465,-0.001849239,0.001215101,
19790529,0.592552046,0.383060926,0.026951545,-0.003057523,0.000493006,
19790530,0.60765657,0.369257194,0.024649576,-0.002027336,0.000463996,
19790531,0.592725589,0.383298756,0.024571118,-0.001204805,0.000609342,
19790601,0.572016807,0.404283915,0.024227392,-0.001253119,0.000725005,
19790604,0.577486902,0.401125422,0.022095895,-0.001291351,0.000583131,
19790605,0.505399441,0.466255627,0.028250257,-0.000416876,0.000511551,
19790606,0.500918701,0.465619815,0.033255419,-0.000382385,0.000588449,
19790607,0.490047779,0.47915363,0.030327606,-0.000249845,0.00072083,
19790608,0.48317405,0.482593255,0.033889191,-0.000361883,0.000705387,
19790611,0.501130077,0.464685205,0.034432483,-0.000410616,0.00016285,
19790612,0.474965753,0.487436833,0.037714031,-0.000190166,7.35491E-05,
19790613,0.483694772,0.477208914,0.03831134,0.000429219,0.000355756,
19790614,0.482772047,0.483152544,0.033864226,-0.000697763,0.000908947,
19790615,0.508354205,0.465702991,0.026129007,-0.002029871,0.001843668,
19790618,0.483473041,0.487810545,0.02867478,-0.002022606,0.002064239,
19790619,0.445382589,0.52448794,0.030402038,-0.00166765,0.001395083,
19790620,0.479945847,0.490780896,0.029358199,-0.002045707,0.001960765,
19790621,0.544082614,0.427495962,0.030357451,-0.003459977,0.001523949,
19790622,0.526549262,0.441334887,0.033451296,-0.002161262,0.000825817,
19790625,0.51323639,0.456033822,0.033277982,-0.003939277,0.001391083,
19790626,0.545733098,0.427915831,0.028470078,-0.003646961,0.001527954,
19790627,0.484406008,0.484010319,0.034239535,-0.003169818,0.000513957,
19790628,0.509690596,0.45995498,0.032852802,-0.002861442,0.000363063,
19790629,0.484038639,0.479814183,0.038563558,-0.002561027,0.000144646,
19790702,0.485814807,0.476124264,0.039252576,-0.00222003,0.001028382,
19790703,0.554952509,0.41096706,0.035001477,-0.001738086,0.000817039,
19790705,0.493526552,0.470706394,0.036367385,-0.001445562,0.00084523,
19790706,0.505464856,0.464387613,0.031345113,-0.001711706,0.000514125,
19790709,0.518554026,0.449560085,0.032527494,-0.001377179,0.000735574,
19790710,0.479658937,0.487254906,0.034668068,-0.002018121,0.00043621,
19790711,0.356899593,0.594674158,0.0509545,-0.002253051,-0.0002752,
19790712,0.167431654,0.734895119,0.112812841,-0.013061078,-0.002078536,
19790713,0.317304457,0.625723324,0.071482806,-0.005559268,-0.008951319,
19790716,0.286252419,0.670385836,0.058085648,-0.004340958,-0.010382946,
19790717,0.269047277,0.688406504,0.066264015,-0.013085534,-0.010632262,
19790718,0.234121643,0.721001649,0.068851093,-0.012847107,-0.011127279,
19790719,0.195308245,0.753435369,0.071110082,-0.009565046,-0.01028865,
19790720,0.342029429,0.60518794,0.068541442,-0.009654654,-0.006104156,
19790723,-0.675456015,1.460070537,0.240655582,-0.02213471,-0.003135395,
19790724,1.265850039,-0.157963114,-0.132920181,0.024561952,0.000471303,
19790725,1.170970494,-0.108757837,-0.080114919,0.016174489,0.001727772,
19790726,1.18439609,-0.128205326,-0.075540412,0.013177548,0.0061721,
19790727,1.148182396,-0.088729097,-0.075435616,0.007295352,0.008686965,
19790730,1.210674183,-0.157032428,-0.080327045,0.010463336,0.016221953,
19790731,1.330995108,-0.270360221,-0.093120913,0.012722766,0.019763259,
19790801,0.802168099,0.144580936,-0.052845437,0.049292284,0.056804118,
19790802,1.304413717,-0.289809577,-0.075912958,0.021513706,0.039795112,
19790803,1.092834101,-0.064496108,-0.160612195,0.048986115,0.083288086,
19790806,0.961796385,0.113685472,0.019235716,-0.039602101,-0.055115473,
19790807,0.678495294,0.367140959,-0.013112598,-0.010136973,-0.022386683,
19790808,0.408115928,0.620093433,-0.000907876,-0.007721666,-0.019579818,
19790809,-0.311389119,1.366553384,0.002306282,-0.018054461,-0.039416086,
19790810,0.470228252,0.605587235,-0.033000218,-0.015382487,-0.027432781,
19790813,0.667585941,0.39006603,-0.028463181,-0.012165619,-0.017023171,
19790814,0.971524676,0.081661532,-0.029540175,-0.012531347,-0.011114686,
19790815,0.890564261,0.164493778,-0.028888903,-0.012620206,-0.01354893,
19790816,0.851229021,0.214777529,-0.033310669,-0.013328034,-0.019367847,
19790817,0.744646,0.356447945,-0.052290652,-0.017066213,-0.03173708,
19790820,0.789557091,0.332778454,-0.065572113,-0.023532372,-0.033231059,
19790821,0.826280574,0.302103595,-0.073568373,-0.024810991,-0.030004806,
19790822,0.672157898,0.469668096,-0.088179454,-0.023546191,-0.030100349,
19790823,0.888059509,0.273750515,-0.108564776,-0.024259392,-0.028985855,
19790824,0.947578874,0.210870711,-0.108909332,-0.022657636,-0.026882617,
19790827,1.085235409,0.053436894,-0.093490938,-0.021498931,-0.023682433,
19790828,0.935095906,0.177770298,-0.074083392,-0.016865174,-0.021917638,
19790829,0.899618671,0.197951924,-0.065406785,-0.013309847,-0.018853962,
19790830,0.879578918,0.217602622,-0.053861034,-0.020986927,-0.022333579,
19790831,0.822621755,0.270901455,-0.051251771,-0.019839845,-0.022431594,
19790904,0.786487166,0.311160233,-0.055362532,-0.017553413,-0.024731455,
19790905,0.7805133,0.325369826,-0.059060366,-0.019871612,-0.026951146,
19790906,0.733911802,0.369622618,-0.056427464,-0.017917117,-0.029189839,
19790907,0.717093894,0.388594089,-0.056279203,-0.02128111,-0.02812767,
19790910,0.678519394,0.423001002,-0.042113024,-0.02381624,-0.035591131,
19790911,0.671116991,0.434773209,-0.043078335,-0.012700366,-0.050111498,
19790912,0.582658087,0.526071746,-0.052496013,-0.013385878,-0.042847942,
19790913,0.629745124,0.508123686,-0.094926808,-0.013283488,-0.029658514,
19790914,0.643790957,0.507308458,-0.105746999,-0.012282187,-0.033070228,
19790917,0.722045625,0.422816094,-0.100469282,-0.012083029,-0.032309409,
19790918,0.763742792,0.368648098,-0.092360936,-0.008609093,-0.031420861,
19790919,0.687763119,0.436221245,-0.086196963,-0.007689704,-0.030097698,
19790920,0.698976476,0.432978725,-0.092391565,-0.009340059,-0.030223576,
19790921,0.666756934,0.464637494,-0.087403887,-0.01311363,-0.030876912,
19790924,0.556863728,0.581182598,-0.089833943,-0.0136025,-0.034609884,
19790925,0.576206505,0.547186809,-0.08639485,-0.005976827,-0.031021636,
19790926,0.605434796,0.511776172,-0.084041,-0.003282288,-0.02988768,
19790927,0.55550052,0.553012084,-0.072437902,-0.002659982,-0.03341472,
19790928,0.500035894,0.611955912,-0.074638486,-0.002068161,-0.035285159,
19791001,0.480019052,0.623386744,-0.068389273,-0.002027192,-0.03298933,
