Date,Open,High,Low,Close,Adj Close,Volume,,End,Daily Return,Cummulative Return,% Change
2/16/1968,90.300003,90.620003,89.279999,89.959999,89.959999,9070000,,,0.996234729,1.228961785,0.228961785
2/19/1968,89.959999,90.870003,89.419998,90.309998,90.309998,7270000,,,1.003890607,1.233743193,0.233743193
2/20/1968,90.309998,91.339996,89.949997,91.239998,91.239998,8800000,,,1.010297863,1.246448111,0.246448111
2/21/1968,91.239998,91.870003,90.540001,91.239998,91.239998,9170000,,,1,1.246448111,0.246448111
2/23/1968,91.239998,91.800003,90.279999,90.889999,90.889999,8810000,,,0.996163974,1.241666704,0.241666704
2/26/1968,90.889999,91.080002,89.669998,90.18,90.18,7810000,,,0.99218837,1.231967264,0.231967264
2/27/1968,90.18,90.910004,89.559998,90.529999,90.529999,7600000,,,1.003881116,1.236748671,0.236748671
2/28/1968,90.529999,91.190002,89.709999,90.080002,90.080002,8020000,,,0.995029305,1.230601171,0.230601171
2/29/1968,90.080002,90.239998,88.93,89.360001,89.360001,7700000,,,0.992007094,1.220765091,0.220765091
3/1/1968,89.360001,89.82,88.580002,89.110001,89.110001,8610000,,,0.997202328,1.21734979,0.21734979
3/4/1968,89.110001,89.330002,87.519997,87.919998,87.919998,10590000,,,0.986645685,1.201092918,0.201092918
3/5/1968,87.919998,88.720001,86.989998,87.720001,87.720001,11440000,,,0.997725239,1.198360719,0.198360719
3/6/1968,87.720001,89.760002,87.639999,89.260002,89.260002,9900000,,,1.017555871,1.219398984,0.219398984
3/7/1968,89.260002,89.980003,88.440002,89.099998,89.099998,8630000,,,0.998207439,1.217213137,0.217213137
3/8/1968,89.099998,89.57,88.230003,89.029999,89.029999,7410000,,,0.999214377,1.216256867,0.216256867
3/11/1968,89.029999,90.559998,88.809998,90.129997,90.129997,9520000,,,1.012355363,1.231284162,0.231284162
3/12/1968,90.129997,90.779999,89.389999,90.230003,90.230003,9250000,,,1.001109575,1.232650365,0.232650365
3/13/1968,90.230003,90.709999,89.400002,90.029999,90.029999,8990000,,,0.997783398,1.22991807,0.22991807
3/14/1968,89.75,89.75,87.809998,88.32,88.32,11640000,,,0.981006342,1.206557426,0.206557426
3/15/1968,88.32,89.75,87.610001,89.099998,89.099998,11210000,,,1.008831499,1.217213137,0.217213137
3/18/1968,89.110001,91.089996,89.110001,89.589996,89.589996,10800000,,,1.005499417,1.223907099,0.223907099
3/19/1968,89.589996,90.050003,88.610001,88.989998,88.989998,7410000,,,0.993302846,1.215710405,0.215710405
3/20/1968,88.989998,89.650002,88.480003,88.980003,88.980003,7390000,,,0.999887684,1.215573861,0.215573861
3/21/1968,88.980003,89.480003,88.050003,88.330002,88.330002,8580000,,,0.992694977,1.206694066,0.206694066
3/22/1968,88.330002,89.139999,87.5,88.419998,88.419998,9900000,,,1.001018861,1.207923519,0.207923519
3/25/1968,88.419998,88.879997,87.650002,88.330002,88.330002,6700000,,,0.998982176,1.206694066,0.206694066
3/26/1968,88.330002,89.5,88.099998,88.93,88.93,8670000,,,1.006792686,1.21489076,0.21489076
3/27/1968,88.93,90.199997,88.879997,89.660004,89.660004,8970000,,,1.008208748,1.224863493,0.224863493
3/28/1968,89.660004,90.400002,89.050003,89.57,89.57,8000000,,,0.998996163,1.22363393,0.22363393
3/29/1968,89.57,90.919998,89.209999,90.199997,90.199997,9000000,,,1.007033572,1.232240447,0.232240447
4/1/1968,91.110001,93.550003,91.110001,92.480003,92.480003,17730000,,,1.025277229,1.263388071,0.263388071
4/2/1968,92.480003,93.440002,91.389999,92.639999,92.639999,14520000,,,1.00173006,1.265573809,0.265573809
4/3/1968,92.639999,95.129997,92.239998,93.470001,93.470001,19290000,,,1.008959434,1.276912634,0.276912634
4/4/1968,93.470001,94.589996,92.629997,93.839996,93.839996,14340000,,,1.003958436,1.281967211,0.281967211
4/5/1968,93.839996,94.510002,92.669998,93.290001,93.290001,12570000,,,0.994139013,1.274453618,0.274453618
4/8/1968,93.290001,95.449997,93.110001,94.949997,94.949997,13010000,,,1.017793933,1.29713116,0.29713116
4/10/1968,94.949997,97.110001,94.739998,95.669998,95.669998,20410000,,,1.007582949,1.306967239,0.306967239
4/11/1968,95.669998,96.93,94.809998,96.529999,96.529999,14230000,,,1.008989244,1.318715887,0.318715887
4/15/1968,96.529999,97.360001,95.330002,96.589996,96.589996,14220000,,,1.000621537,1.319535519,0.319535519
4/16/1968,96.589996,97.540001,95.720001,96.620003,96.620003,15680000,,,1.000310664,1.31994545,0.31994545
4/17/1968,96.620003,97.400002,95.760002,96.809998,96.809998,14090000,,,1.001966415,1.32254101,0.32254101
4/18/1968,96.809998,97.889999,96.120003,97.080002,97.080002,15890000,,,1.002789009,1.32622959,0.32622959
4/19/1968,97.080002,97.080002,95.150002,95.849998,95.849998,14560000,,,0.987329996,1.309426256,0.309426256
4/22/1968,95.849998,96.07,94.220001,95.32,95.32,11720000,,,0.994470548,1.302185846,0.302185846
4/23/1968,95.68,97.480003,95.68,96.620003,96.620003,14010000,,,1.013638303,1.31994545,0.31994545
4/24/1968,96.620003,97.809998,95.980003,96.919998,96.919998,14810000,,,1.003104895,1.324043743,0.324043743
4/25/1968,96.919998,97.480003,95.68,96.620003,96.620003,14430000,,,0.996904715,1.31994545,0.31994545
4/26/1968,96.620003,97.830002,96.220001,97.209999,97.209999,13500000,,,1.006106355,1.328005505,0.328005505
4/29/1968,97.209999,98.610001,96.809998,97.970001,97.970001,12030000,,,1.007818146,1.338388047,0.338388047
4/30/1968,97.970001,98.169998,96.580002,97.459999,97.459999,14380000,,,0.994794304,1.331420806,0.331420806
5/1/1968,97.459999,98.610001,96.839996,97.970001,97.970001,14440000,,,1.005232937,1.338388047,0.338388047
5/2/1968,97.970001,99.18,97.529999,98.589996,98.589996,14260000,,,1.006328417,1.346857924,0.346857924
5/3/1968,98.589996,100.190002,97.980003,98.660004,98.660004,17990000,,,1.000710092,1.347814318,0.347814318
5/6/1968,98.660004,99.110001,97.269997,98.349998,98.349998,12160000,,,0.996857835,1.343579263,0.343579263
